Price (Rs.),Discount (%),Final_Price(Rs.),Purchase_Year,Purchase_Month,Purchase_Day,Purchase_DayOfWeek,Purchase_IsWeekend,Category_Books,Category_Clothing,Category_Electronics,Category_Home & Kitchen,Category_Sports,Category_Toys,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI
395.73,15,336.37,2024,11,7,3,0,1,0,0,0,0,0,0,0,0,0
351.87,0,351.87,2024,8,31,5,1,0,0,0,1,0,0,0,0,1,0
257.14,20,205.71,2024,9,14,5,1,0,0,0,0,0,1,0,0,1,0
332.0,20,265.6,2024,2,3,5,1,0,0,0,0,1,0,0,0,1,0
375.59,30,262.91,2024,4,14,6,1,0,0,0,0,0,1,0,0,1,0
235.13,25,176.35,2024,8,6,1,0,0,0,0,0,0,0,0,0,0,1
352.95,50,176.47,2024,8,5,0,0,0,0,1,0,0,0,0,0,0,1
245.98,15,209.08,2024,6,28,4,0,0,0,0,0,0,1,0,0,0,0
389.72,10,350.75,2024,4,22,0,0,0,0,0,0,0,1,0,1,0,0
88.07,30,61.65,2024,10,7,0,0,0,0,0,1,0,0,0,0,0,1
40.78,50,20.39,2024,3,20,2,0,0,0,0,0,0,0,0,0,0,0
105.1,25,78.82,2024,3,10,6,1,0,0,0,0,0,1,0,0,1,0
224.52,50,112.26,2024,5,21,1,0,0,0,0,1,0,0,0,1,0,0
300.81,5,285.77,2024,6,1,5,1,1,0,0,0,0,0,0,1,0,0
24.17,25,18.13,2024,1,15,0,0,0,0,0,0,0,1,1,0,0,0
95.41,15,81.1,2024,4,21,6,1,0,1,0,0,0,0,0,1,0,0
490.77,10,441.69,2024,8,3,5,1,0,1,0,0,0,0,0,0,0,1
188.07,50,94.03,2024,7,1,0,0,0,0,1,0,0,0,0,1,0,0
319.29,5,303.33,2024,2,20,1,0,0,0,0,1,0,0,1,0,0,0
403.4,10,363.06,2024,8,25,6,1,0,0,0,0,0,1,0,0,1,0
303.14,0,303.14,2024,5,17,4,0,0,0,1,0,0,0,0,1,0,0
337.81,25,253.36,2024,6,18,1,0,0,0,0,1,0,0,1,0,0,0
449.74,10,404.77,2024,9,15,6,1,0,1,0,0,0,0,0,0,0,0
272.92,30,191.04,2024,5,12,6,1,0,0,0,0,1,0,0,0,1,0
432.89,15,367.96,2024,2,25,6,1,0,0,0,1,0,0,1,0,0,0
310.86,10,279.77,2024,10,30,2,0,0,0,0,1,0,0,0,0,0,1
479.19,0,479.19,2024,8,11,6,1,0,0,0,0,0,0,0,1,0,0
350.61,10,315.55,2024,6,3,0,0,0,0,0,1,0,0,0,1,0,0
154.62,50,77.31,2024,10,8,1,0,1,0,0,0,0,0,0,0,1,0
435.6,50,217.8,2024,4,4,3,0,0,0,0,0,0,1,0,0,1,0
400.31,25,300.23,2024,8,3,5,1,0,0,0,0,0,1,0,0,1,0
15.81,25,11.86,2024,5,8,2,0,0,0,1,0,0,0,0,0,0,1
35.25,15,29.96,2024,1,11,3,0,0,0,0,0,0,1,0,0,0,1
414.76,0,414.76,2024,6,30,6,1,0,0,1,0,0,0,0,1,0,0
334.47,30,234.13,2024,8,25,6,1,0,0,0,0,0,1,0,1,0,0
178.39,25,133.79,2024,10,4,4,0,0,0,0,1,0,0,0,0,0,1
237.95,15,202.26,2024,10,22,1,0,1,0,0,0,0,0,0,0,1,0
458.12,15,389.4,2024,8,29,3,0,0,0,1,0,0,0,0,0,0,1
286.5,5,272.18,2024,8,10,5,1,0,0,0,0,0,0,1,0,0,0
10.78,10,9.7,2024,8,22,3,0,0,0,0,0,1,0,0,0,1,0
342.66,30,239.86,2024,7,24,2,0,0,0,0,0,0,0,0,0,0,1
225.17,30,157.62,2024,9,16,0,0,0,0,0,0,1,0,0,0,0,0
405.45,25,304.09,2024,7,18,3,0,0,1,0,0,0,0,0,0,0,1
112.45,0,112.45,2024,7,7,6,1,0,0,0,0,0,0,1,0,0,0
380.81,20,304.65,2024,4,1,0,0,1,0,0,0,0,0,1,0,0,0
394.12,25,295.59,2024,3,9,5,1,0,0,0,0,1,0,1,0,0,0
334.77,15,284.55,2024,1,29,0,0,0,0,0,0,1,0,0,0,0,0
125.65,10,113.09,2024,2,27,1,0,0,1,0,0,0,0,0,0,0,1
202.26,20,161.81,2024,9,13,4,0,0,0,0,0,0,1,0,0,0,0
173.51,20,138.81,2024,1,28,6,1,0,1,0,0,0,0,0,0,1,0
30.8,50,15.4,2024,4,28,6,1,0,0,0,0,0,1,0,0,0,1
305.93,10,275.34,2024,10,19,5,1,0,0,0,1,0,0,0,0,0,0
282.5,5,268.38,2024,4,14,6,1,0,1,0,0,0,0,0,0,0,0
274.87,50,137.44,2024,9,17,1,0,1,0,0,0,0,0,0,0,1,0
93.08,20,74.46,2024,3,11,0,0,0,0,1,0,0,0,0,0,1,0
274.11,15,232.99,2024,10,17,3,0,0,0,0,1,0,0,1,0,0,0
362.61,0,362.61,2024,11,21,3,0,0,0,0,0,1,0,0,0,0,0
486.62,25,364.97,2024,1,9,1,0,0,0,1,0,0,0,0,0,1,0
336.49,20,269.19,2024,9,3,1,0,0,0,0,1,0,0,0,0,0,0
454.39,25,340.79,2024,9,4,2,0,0,0,0,0,0,1,1,0,0,0
215.44,50,107.72,2024,6,22,5,1,0,0,0,1,0,0,0,0,0,1
33.02,15,28.07,2024,9,18,2,0,0,1,0,0,0,0,0,0,0,1
138.83,10,124.95,2024,6,18,1,0,0,0,0,0,0,1,0,0,1,0
490.71,5,466.17,2024,3,10,6,1,1,0,0,0,0,0,0,1,0,0
280.66,15,238.56,2024,11,11,0,0,0,0,0,0,0,1,0,1,0,0
327.4,30,229.18,2024,9,11,2,0,1,0,0,0,0,0,0,1,0,0
309.67,25,232.25,2024,9,4,2,0,1,0,0,0,0,0,0,0,0,1
292.67,25,219.5,2024,2,13,1,0,1,0,0,0,0,0,1,0,0,0
40.87,15,34.74,2024,3,11,0,0,0,1,0,0,0,0,0,0,1,0
455.19,15,386.91,2024,10,5,5,1,0,1,0,0,0,0,0,0,1,0
312.3,10,281.07,2024,1,31,2,0,0,0,0,0,0,1,0,0,0,1
193.28,10,173.95,2024,6,11,1,0,0,0,0,0,1,0,0,0,0,1
216.18,30,151.33,2024,3,27,2,0,0,0,1,0,0,0,1,0,0,0
81.41,5,77.34,2024,2,20,1,0,0,0,1,0,0,0,0,0,0,0
496.05,5,471.25,2024,1,9,1,0,0,0,0,0,0,0,0,1,0,0
357.54,15,303.91,2024,6,15,5,1,0,0,0,0,1,0,0,0,0,0
133.93,0,133.93,2024,4,24,2,0,0,0,1,0,0,0,0,0,0,0
90.2,10,81.18,2024,1,28,6,1,0,1,0,0,0,0,0,1,0,0
431.44,50,215.72,2024,1,28,6,1,1,0,0,0,0,0,0,0,0,1
42.98,5,40.83,2024,9,7,5,1,0,0,0,1,0,0,0,0,0,1
182.04,0,182.04,2024,8,23,4,0,0,0,0,0,1,0,0,0,0,1
83.58,20,66.86,2024,4,1,0,0,0,0,0,0,0,0,0,0,1,0
92.92,10,83.63,2024,4,2,1,0,0,1,0,0,0,0,1,0,0,0
388.1,25,291.08,2024,6,28,4,0,0,0,0,0,0,1,0,0,0,0
417.57,50,208.78,2024,2,22,3,0,0,0,0,0,0,0,0,0,0,1
322.93,5,306.78,2024,1,3,2,0,0,0,0,0,1,0,1,0,0,0
257.21,5,244.35,2024,9,5,3,0,0,0,0,0,0,1,0,0,0,1
29.92,50,14.96,2024,5,1,2,0,0,0,0,1,0,0,0,1,0,0
239.67,15,203.72,2024,1,27,5,1,0,0,0,1,0,0,0,0,0,1
163.3,30,114.31,2024,5,31,4,0,0,0,0,0,0,0,1,0,0,0
135.62,30,94.93,2024,9,1,6,1,1,0,0,0,0,0,0,0,0,1
61.84,50,30.92,2024,4,19,4,0,0,0,0,0,0,1,0,0,1,0
496.36,25,372.27,2024,7,30,1,0,0,0,0,0,1,0,1,0,0,0
107.11,30,74.98,2024,4,29,0,0,0,0,0,0,0,1,0,0,1,0
384.8,25,288.6,2024,10,7,0,0,0,0,1,0,0,0,1,0,0,0
377.75,50,188.88,2024,5,25,5,1,0,0,0,0,0,1,1,0,0,0
285.18,0,285.18,2024,5,24,4,0,0,0,0,1,0,0,0,0,1,0
187.86,0,187.86,2024,2,24,5,1,1,0,0,0,0,0,0,0,0,1
440.5,50,220.25,2024,9,24,1,0,0,0,0,0,1,0,0,0,1,0
124.56,0,124.56,2024,4,16,1,0,0,0,0,0,0,0,1,0,0,0
236.7,0,236.7,2024,9,16,0,0,0,0,0,0,0,0,0,0,0,0
397.16,30,278.01,2024,10,11,4,0,0,1,0,0,0,0,0,0,0,0
248.95,15,211.61,2024,4,14,6,1,0,0,0,0,0,0,0,1,0,0
123.71,50,61.85,2024,10,12,5,1,0,0,0,0,1,0,0,0,0,1
62.46,30,43.72,2024,11,18,0,0,0,0,1,0,0,0,0,1,0,0
451.3,20,361.04,2024,6,12,2,0,0,0,1,0,0,0,0,0,0,0
320.09,0,320.09,2024,3,15,4,0,0,0,0,0,1,0,0,0,0,1
51.73,30,36.21,2024,5,21,1,0,0,0,0,0,0,1,0,1,0,0
388.94,20,311.15,2024,5,21,1,0,0,0,0,0,0,1,0,0,1,0
85.98,20,68.78,2024,5,14,1,0,0,0,0,0,1,0,1,0,0,0
460.89,10,414.8,2024,5,18,5,1,0,0,0,1,0,0,0,1,0,0
492.64,20,394.11,2024,7,7,6,1,0,0,0,1,0,0,1,0,0,0
86.95,25,65.21,2024,8,5,0,0,0,0,0,0,1,0,0,0,0,0
416.65,15,354.15,2024,7,5,4,0,0,0,0,0,0,0,0,0,1,0
155.75,50,77.88,2024,7,22,0,0,0,0,0,0,0,1,1,0,0,0
238.9,25,179.18,2024,4,17,2,0,0,1,0,0,0,0,0,0,0,0
470.33,0,470.33,2024,4,12,4,0,0,0,0,0,0,0,1,0,0,0
62.48,20,49.98,2024,6,2,6,1,0,0,0,0,0,1,0,0,0,1
317.67,20,254.14,2024,2,10,5,1,0,0,0,1,0,0,0,0,1,0
33.21,20,26.57,2024,3,14,3,0,0,0,0,0,0,0,0,0,1,0
118.52,5,112.59,2024,4,11,3,0,1,0,0,0,0,0,0,0,1,0
376.63,15,320.14,2024,5,7,1,0,0,1,0,0,0,0,1,0,0,0
428.47,0,428.47,2024,3,15,4,0,0,0,0,0,0,0,1,0,0,0
462.91,20,370.33,2024,7,2,1,0,0,0,0,0,0,0,0,0,0,0
385.98,15,328.08,2024,5,8,2,0,0,0,1,0,0,0,0,0,1,0
311.0,25,233.25,2024,7,31,2,0,0,1,0,0,0,0,0,0,1,0
268.49,25,201.37,2024,5,9,3,0,0,0,0,0,0,1,0,0,0,1
185.46,10,166.91,2024,6,12,2,0,0,0,0,0,0,1,0,0,1,0
267.4,5,254.03,2024,4,19,4,0,0,0,1,0,0,0,0,0,0,0
203.43,5,193.26,2024,9,23,0,0,0,0,0,1,0,0,0,1,0,0
171.63,50,85.81,2024,2,21,2,0,1,0,0,0,0,0,0,0,1,0
326.01,0,326.01,2024,10,11,4,0,0,0,1,0,0,0,0,0,0,1
147.71,0,147.71,2024,6,9,6,1,0,0,1,0,0,0,0,0,1,0
390.2,0,390.2,2024,2,2,4,0,0,1,0,0,0,0,0,0,1,0
406.06,50,203.03,2024,3,24,6,1,0,0,0,1,0,0,0,0,0,1
268.42,5,255.0,2024,3,10,6,1,1,0,0,0,0,0,1,0,0,0
210.36,10,189.32,2024,11,17,6,1,0,0,0,0,0,0,0,0,0,0
285.47,20,228.38,2024,6,1,5,1,0,0,0,1,0,0,0,0,1,0
494.46,10,445.01,2024,8,18,6,1,0,0,0,0,0,1,1,0,0,0
287.09,20,229.67,2024,4,10,2,0,0,1,0,0,0,0,0,1,0,0
378.27,0,378.27,2024,3,29,4,0,0,1,0,0,0,0,0,0,0,0
23.54,20,18.83,2024,7,11,3,0,0,1,0,0,0,0,0,1,0,0
383.58,10,345.22,2024,6,7,4,0,0,1,0,0,0,0,0,0,0,1
41.61,15,35.37,2024,11,5,1,0,0,0,0,0,1,0,1,0,0,0
261.57,50,130.78,2024,7,20,5,1,0,0,0,0,0,1,0,1,0,0
251.32,5,238.75,2024,6,28,4,0,0,0,1,0,0,0,1,0,0,0
72.43,50,36.22,2024,9,15,6,1,0,0,0,0,1,0,0,1,0,0
421.0,10,378.9,2024,7,3,2,0,0,0,0,0,1,0,0,0,1,0
422.02,30,295.41,2024,6,7,4,0,1,0,0,0,0,0,0,1,0,0
219.83,5,208.84,2024,10,13,6,1,0,0,0,0,0,1,1,0,0,0
242.33,15,205.98,2024,5,10,4,0,0,0,1,0,0,0,0,0,1,0
334.28,15,284.14,2024,5,7,1,0,0,1,0,0,0,0,0,0,0,0
148.21,50,74.11,2024,8,22,3,0,1,0,0,0,0,0,0,0,1,0
275.11,50,137.56,2024,8,25,6,1,0,0,0,1,0,0,0,0,1,0
211.85,20,169.48,2024,5,28,1,0,0,0,0,1,0,0,0,0,0,1
497.4,50,248.7,2024,8,8,3,0,0,0,0,0,1,0,0,1,0,0
368.74,5,350.3,2024,2,26,0,0,0,0,0,0,0,0,0,0,0,1
260.82,0,260.82,2024,2,5,0,0,0,0,0,1,0,0,1,0,0,0
394.35,15,335.2,2024,3,6,2,0,0,0,0,0,0,0,0,0,1,0
459.03,20,367.22,2024,8,11,6,1,0,0,0,1,0,0,1,0,0,0
377.99,10,340.19,2024,7,26,4,0,0,0,0,0,0,0,0,1,0,0
269.87,50,134.94,2024,8,6,1,0,0,0,0,0,1,0,0,0,0,1
458.8,50,229.4,2024,6,25,1,0,0,0,0,0,0,0,0,0,1,0
414.08,20,331.26,2024,4,3,2,0,0,0,0,1,0,0,0,0,1,0
496.06,15,421.65,2024,10,20,6,1,0,1,0,0,0,0,0,1,0,0
295.86,30,207.1,2024,10,29,1,0,1,0,0,0,0,0,0,0,0,1
430.43,0,430.43,2024,10,2,2,0,0,0,0,1,0,0,0,0,0,1
169.71,25,127.28,2024,7,8,0,0,0,0,0,0,1,0,1,0,0,0
315.8,0,315.8,2024,11,20,2,0,0,1,0,0,0,0,0,0,1,0
154.33,25,115.75,2024,8,4,6,1,0,0,0,1,0,0,1,0,0,0
197.33,25,148.0,2024,8,22,3,0,0,0,0,1,0,0,1,0,0,0
270.73,20,216.58,2024,8,6,1,0,0,0,0,0,0,1,0,0,1,0
261.23,20,208.98,2024,11,13,2,0,0,0,0,1,0,0,0,0,0,0
334.87,50,167.44,2024,11,14,3,0,0,0,0,1,0,0,0,0,0,0
266.2,0,266.2,2024,11,14,3,0,0,0,0,0,0,0,0,0,0,1
169.53,50,84.77,2024,3,6,2,0,0,0,0,1,0,0,1,0,0,0
332.57,0,332.57,2024,2,18,6,1,0,1,0,0,0,0,0,0,1,0
398.85,10,358.97,2024,9,23,0,0,0,0,0,0,0,1,0,1,0,0
180.6,0,180.6,2024,9,24,1,0,0,0,0,1,0,0,0,0,0,1
433.59,25,325.19,2024,1,14,6,1,1,0,0,0,0,0,0,1,0,0
20.74,10,18.67,2024,9,1,6,1,0,0,0,1,0,0,0,0,0,1
17.01,30,11.91,2024,5,24,4,0,0,0,1,0,0,0,0,0,1,0
34.13,50,17.07,2024,3,9,5,1,0,0,1,0,0,0,0,0,0,0
11.14,15,9.47,2024,3,19,1,0,0,0,0,1,0,0,1,0,0,0
206.97,0,206.97,2024,10,25,4,0,0,0,0,1,0,0,0,0,1,0
353.08,50,176.54,2024,8,23,4,0,0,0,0,1,0,0,1,0,0,0
67.36,25,50.52,2024,11,10,6,1,0,0,0,0,1,0,0,0,1,0
203.49,30,142.44,2024,4,30,1,0,1,0,0,0,0,0,0,0,1,0
246.98,30,172.89,2024,5,11,5,1,0,1,0,0,0,0,0,0,0,1
368.25,20,294.6,2024,11,16,5,1,1,0,0,0,0,0,1,0,0,0
327.19,20,261.75,2024,11,2,5,1,1,0,0,0,0,0,0,1,0,0
274.65,20,219.72,2024,11,8,4,0,0,0,0,0,1,0,0,1,0,0
369.15,0,369.15,2024,6,19,2,0,0,0,1,0,0,0,1,0,0,0
84.26,5,80.05,2024,10,16,2,0,0,1,0,0,0,0,0,0,0,0
255.74,25,191.81,2024,6,4,1,0,1,0,0,0,0,0,0,0,0,1
440.74,30,308.52,2024,9,11,2,0,0,0,0,0,1,0,0,0,0,0
316.84,25,237.63,2024,5,25,5,1,0,0,1,0,0,0,0,1,0,0
199.88,10,179.89,2024,1,20,5,1,0,0,0,0,0,0,0,0,1,0
389.85,30,272.89,2024,7,20,5,1,0,0,0,1,0,0,0,0,1,0
317.98,5,302.08,2024,7,23,1,0,0,0,0,0,1,0,1,0,0,0
165.06,30,115.54,2024,11,12,1,0,0,0,0,1,0,0,0,1,0,0
192.48,15,163.61,2024,6,5,2,0,1,0,0,0,0,0,1,0,0,0
106.34,20,85.07,2024,4,11,3,0,0,0,0,1,0,0,0,0,0,1
404.92,50,202.46,2024,10,22,1,0,0,0,1,0,0,0,0,1,0,0
289.62,10,260.66,2024,7,28,6,1,0,0,0,0,0,1,0,0,1,0
129.89,5,123.4,2024,4,21,6,1,0,0,0,0,0,0,0,1,0,0
41.2,5,39.14,2024,7,15,0,0,0,0,0,1,0,0,0,0,1,0
208.08,15,176.87,2024,11,15,4,0,0,1,0,0,0,0,0,0,0,1
114.84,20,91.87,2024,6,17,0,0,0,0,0,0,1,0,0,0,0,0
430.16,20,344.13,2024,1,31,2,0,0,0,0,0,0,1,0,0,0,1
431.98,25,323.99,2024,1,6,5,1,0,0,0,0,1,0,0,0,0,1
472.77,20,378.22,2024,3,29,4,0,0,0,0,1,0,0,0,0,0,0
473.18,50,236.59,2024,10,24,3,0,0,0,0,0,1,0,0,1,0,0
205.06,25,153.8,2024,8,13,1,0,1,0,0,0,0,0,0,0,0,0
485.71,20,388.57,2024,6,7,4,0,0,0,0,0,0,0,1,0,0,0
84.28,10,75.85,2024,9,23,0,0,0,0,0,0,1,0,0,0,0,0
189.84,20,151.87,2024,3,8,4,0,1,0,0,0,0,0,1,0,0,0
366.4,15,311.44,2024,9,12,3,0,0,0,0,0,1,0,0,0,1,0
93.05,50,46.52,2024,5,15,2,0,0,1,0,0,0,0,0,0,0,0
398.16,5,378.25,2024,4,19,4,0,0,0,0,0,0,1,1,0,0,0
326.51,20,261.21,2024,5,27,0,0,0,0,0,0,1,0,0,1,0,0
367.98,5,349.58,2024,2,11,6,1,0,0,0,0,0,1,1,0,0,0
424.14,50,212.07,2024,9,6,4,0,0,0,0,0,0,1,0,1,0,0
359.51,30,251.66,2024,5,12,6,1,0,1,0,0,0,0,0,0,0,1
187.2,25,140.4,2024,5,28,1,0,0,0,0,0,0,1,0,0,1,0
232.12,5,220.51,2024,8,27,1,0,0,0,0,1,0,0,0,0,0,1
236.78,25,177.59,2024,6,23,6,1,0,0,0,0,1,0,0,0,1,0
439.4,10,395.46,2024,4,3,2,0,0,0,0,0,1,0,0,0,0,0
133.33,5,126.66,2024,5,19,6,1,0,0,0,0,0,1,1,0,0,0
199.31,5,189.34,2024,8,31,5,1,0,0,0,0,0,0,0,0,0,1
143.68,10,129.31,2024,8,2,4,0,0,0,1,0,0,0,0,0,0,1
313.37,15,266.36,2024,7,28,6,1,0,0,0,1,0,0,0,0,0,1
311.05,30,217.73,2024,4,27,5,1,0,0,1,0,0,0,0,0,1,0
71.34,0,71.34,2024,9,10,1,0,0,0,0,0,0,0,0,0,0,1
354.11,0,354.11,2024,6,29,5,1,1,0,0,0,0,0,0,1,0,0
163.91,10,147.52,2024,9,22,6,1,1,0,0,0,0,0,0,0,0,0
460.83,30,322.58,2024,2,17,5,1,0,1,0,0,0,0,0,0,0,0
49.61,20,39.69,2024,4,17,2,0,0,0,0,0,0,0,1,0,0,0
325.51,15,276.68,2024,11,10,6,1,0,1,0,0,0,0,0,1,0,0
394.16,10,354.74,2024,11,2,5,1,1,0,0,0,0,0,0,0,1,0
440.11,5,418.1,2024,9,19,3,0,0,0,0,1,0,0,0,1,0,0
94.52,30,66.16,2024,10,10,3,0,1,0,0,0,0,0,0,0,0,0
209.41,50,104.7,2024,10,31,3,0,0,0,0,0,0,0,0,0,1,0
413.31,30,289.32,2024,3,7,3,0,0,0,0,0,0,1,0,0,1,0
205.82,5,195.53,2024,10,7,0,0,0,0,0,0,1,0,1,0,0,0
110.73,30,77.51,2024,11,21,3,0,0,0,0,1,0,0,0,0,0,0
432.1,5,410.5,2024,6,7,4,0,0,0,0,0,0,1,0,0,1,0
375.09,5,356.34,2024,10,26,5,1,0,0,0,0,1,0,0,1,0,0
69.77,5,66.28,2024,6,17,0,0,0,0,1,0,0,0,0,1,0,0
430.96,15,366.32,2024,9,10,1,0,0,0,0,0,0,0,0,0,0,0
429.69,30,300.78,2024,2,7,2,0,0,0,0,1,0,0,0,0,0,0
381.28,15,324.09,2024,10,5,5,1,1,0,0,0,0,0,0,0,0,0
72.87,20,58.3,2024,2,14,2,0,0,0,0,0,0,1,0,1,0,0
37.67,25,28.25,2024,4,7,6,1,0,0,0,0,0,0,0,0,0,1
485.0,15,412.25,2024,11,17,6,1,1,0,0,0,0,0,0,0,1,0
214.45,0,214.45,2024,4,14,6,1,0,0,0,1,0,0,1,0,0,0
315.89,0,315.89,2024,1,2,1,0,0,0,0,0,0,0,0,0,0,0
211.67,50,105.83,2024,5,7,1,0,1,0,0,0,0,0,0,0,1,0
490.75,30,343.52,2024,7,1,0,0,0,0,0,0,0,1,1,0,0,0
444.27,10,399.84,2024,2,26,0,0,0,0,0,0,0,1,0,0,0,0
244.61,10,220.15,2024,8,23,4,0,0,0,0,0,1,0,0,0,1,0
444.87,30,311.41,2024,3,9,5,1,1,0,0,0,0,0,1,0,0,0
231.08,10,207.97,2024,1,31,2,0,1,0,0,0,0,0,0,1,0,0
32.39,20,25.91,2024,5,11,5,1,0,0,0,0,0,0,1,0,0,0
260.74,5,247.7,2024,9,20,4,0,0,0,0,0,0,1,0,0,1,0
446.14,0,446.14,2024,1,3,2,0,0,0,1,0,0,0,0,0,0,1
144.56,10,130.1,2024,8,8,3,0,0,0,0,0,0,0,0,0,0,1
467.35,50,233.68,2024,7,11,3,0,0,0,0,1,0,0,0,1,0,0
71.02,50,35.51,2024,11,17,6,1,0,0,0,0,0,1,0,0,0,0
374.32,50,187.16,2024,1,7,6,1,0,0,0,0,1,0,0,0,0,0
61.82,20,49.46,2024,1,21,6,1,1,0,0,0,0,0,0,0,0,1
214.64,20,171.71,2024,8,5,0,0,0,0,0,1,0,0,0,0,0,0
220.76,15,187.65,2024,3,14,3,0,1,0,0,0,0,0,0,0,0,0
204.56,0,204.56,2024,3,6,2,0,0,0,0,0,0,1,0,0,0,1
78.43,15,66.67,2024,8,24,5,1,0,0,0,0,0,0,0,0,1,0
132.48,20,105.98,2024,5,1,2,0,0,0,0,1,0,0,0,0,0,1
334.55,5,317.82,2024,11,13,2,0,1,0,0,0,0,0,0,0,1,0
311.29,10,280.16,2024,10,12,5,1,0,0,1,0,0,0,0,1,0,0
70.49,15,59.92,2024,1,24,2,0,0,0,1,0,0,0,0,1,0,0
243.69,50,121.84,2024,1,5,4,0,0,0,1,0,0,0,1,0,0,0
74.67,20,59.74,2024,5,21,1,0,0,1,0,0,0,0,0,0,0,0
388.03,5,368.63,2024,7,7,6,1,0,0,1,0,0,0,0,0,1,0
28.12,0,28.12,2024,3,17,6,1,0,0,0,0,1,0,1,0,0,0
112.53,15,95.65,2024,6,12,2,0,1,0,0,0,0,0,1,0,0,0
439.81,15,373.84,2024,5,25,5,1,1,0,0,0,0,0,0,0,1,0
220.37,20,176.3,2024,2,5,0,0,0,0,0,0,1,0,0,0,0,1
314.16,30,219.91,2024,9,29,6,1,0,0,0,1,0,0,0,0,0,1
438.97,10,395.07,2024,10,18,4,0,0,1,0,0,0,0,0,0,0,0
166.89,10,150.2,2024,1,9,1,0,0,1,0,0,0,0,0,1,0,0
222.28,0,222.28,2024,9,7,5,1,1,0,0,0,0,0,0,0,0,0
128.89,25,96.67,2024,6,24,0,0,0,1,0,0,0,0,0,0,1,0
65.88,30,46.12,2024,10,12,5,1,0,0,0,0,0,0,0,0,0,0
31.93,15,27.14,2024,3,14,3,0,0,0,0,0,0,0,0,0,1,0
18.79,50,9.39,2024,10,4,4,0,0,0,0,1,0,0,0,1,0,0
46.99,25,35.24,2024,3,10,6,1,0,0,0,0,0,0,0,0,0,1
293.28,30,205.3,2024,7,27,5,1,0,0,0,0,0,0,0,0,1,0
419.54,10,377.59,2024,6,17,0,0,0,0,0,0,1,0,0,0,0,0
150.09,10,135.08,2024,2,13,1,0,0,0,1,0,0,0,0,1,0,0
172.11,25,129.08,2024,7,1,0,0,1,0,0,0,0,0,0,0,1,0
440.57,5,418.54,2024,8,5,0,0,1,0,0,0,0,0,0,0,0,1
121.31,15,103.11,2024,9,3,1,0,0,0,0,0,0,1,0,0,0,1
481.88,15,409.6,2024,5,30,3,0,0,0,1,0,0,0,0,1,0,0
177.59,20,142.07,2024,5,17,4,0,0,0,0,1,0,0,1,0,0,0
443.05,30,310.13,2024,1,27,5,1,0,0,1,0,0,0,0,1,0,0
235.33,50,117.67,2024,6,20,3,0,0,0,1,0,0,0,1,0,0,0
24.75,50,12.38,2024,1,14,6,1,0,0,0,0,0,0,0,0,1,0
470.9,10,423.81,2024,2,20,1,0,0,0,1,0,0,0,0,0,0,1
237.27,0,237.27,2024,11,13,2,0,1,0,0,0,0,0,0,0,0,0
151.72,5,144.13,2024,3,23,5,1,1,0,0,0,0,0,1,0,0,0
27.88,50,13.94,2024,4,24,2,0,1,0,0,0,0,0,1,0,0,0
26.95,20,21.56,2024,3,8,4,0,0,0,0,0,1,0,0,1,0,0
